Lokalni izbori 2025.														
Rbr.županije	Županija	Oznaka GROP	Grad/op?ina	Rbr BM	Naziv BM	Lokacija BM	Adresa BM	Ukupno bira?a	Glasovalo bira?a	Glasovalo bira?a (prema glasa?kim listi?ima)	Važe?i glasa?ki listi?i	Nevaže?i glasa?ki listi?i	NIKOLA ARBUTINA	ANKICA BUNDALO
3	SISA?KO-MOSLAVA?KA ŽUPANIJA	op?ina	DVOR	1	DVOR	KNJIŽNICA I ?ITAONICA DVOR	TRG BANA JOSIPA JELA?I?A 10	577	271	271	263	8	112	151
3	SISA?KO-MOSLAVA?KA ŽUPANIJA	op?ina	DVOR	2	DVOR	OSNOVNA ŠKOLA	ANTE BRUNE BUŠI?A 5	472	241	241	232	9	97	135
3	SISA?KO-MOSLAVA?KA ŽUPANIJA	op?ina	DVOR	3	MATIJEVI?I	ZGRADA DVORKOM-A D.O.O.	ULICA EUGEN KVATERNIKA 3	505	272	272	264	8	133	131
3	SISA?KO-MOSLAVA?KA ŽUPANIJA	op?ina	DVOR	4	DIVUŠA	PROSTORIJE VATROGASNOG DOMA	DIVUŠA BB	442	217	217	194	23	109	85
3	SISA?KO-MOSLAVA?KA ŽUPANIJA	op?ina	DVOR	5	GORNJA ORAOVICA	ZGRADA ŠKOLE	GORNJA ORAOVICA BB	142	59	59	57	2	35	22
3	SISA?KO-MOSLAVA?KA ŽUPANIJA	op?ina	DVOR	6	GORNJI JAVORANJ	PROSTORIJE MJESNOG ODBORA	GORNJI JAVORANJ BB	230	123	123	121	2	68	53
3	SISA?KO-MOSLAVA?KA ŽUPANIJA	op?ina	DVOR	7	ZRINSKI BR?ANI	DRUŠTVENI DOM	ZRINSKI BR?ANI BB	199	123	123	118	5	80	38
3	SISA?KO-MOSLAVA?KA ŽUPANIJA	op?ina	DVOR	8	GRMUŠANI	PROSTORIJE DRUŠTVENOG DOMA	GRMUŠANI BB	277	139	139	135	4	76	59
3	SISA?KO-MOSLAVA?KA ŽUPANIJA	op?ina	DVOR	9	RUJEVAC	DRUŠTVENE PROSTORIJE U ZGRADI ŠKOLE	RUJEVAC	184	88	87	86	1	53	33
3	SISA?KO-MOSLAVA?KA ŽUPANIJA	op?ina	DVOR	10	DONJI ŽIROVAC	PROSTORIJE DRUŠTVENOG DOMA	DONJI ŽIROVAC BB	82	22	22	22	0	18	4
3	SISA?KO-MOSLAVA?KA ŽUPANIJA	op?ina	DVOR	11	DONJA STUPNICA	PROSTORIJE DRUŠTVENOG DOMA	DONJA STUPNICA	141	79	79	77	2	52	25
3	SISA?KO-MOSLAVA?KA ŽUPANIJA	op?ina	DVOR	12	STRUGA BANSKA	PROSTORIJE DRUŠTVENOG DOMA	STRUGA BANSKA	159	75	75	66	9	28	38
